id;kategoria;KTO;CO;TRIGGER;GDZIE;KIEDY
679;POLITYKA;Centrum Informacyjne Rządu;projekt ustawy Kolej Plus;przyjęła;Polska;
680;POLITYKA;kluby opozycyjne;projekt ustawy o podatku handlowym;przeciw;Polska;wtorek
681;BIZNES;Beata Daszyńska-Muzyczka;finansowanie inwestycji Trójmorza;poinformowała;kraje Trójmorza;
682;BRAK_ZDARZENIA;złoty;sytuacja;wygląda;rynek międzynarodowy;
683;BIZNES;Puls Biznesu;liczba apartamentów;czytamy;Polska;
684;BIZNES;PARP;konkurs dla MŚP;uruchomiła;Polska Wschodnia;
685;BRAK_ZDARZENIA;TVN;cena benzyny;;Polska;
686;BIZNES;IAR;lokalizacja CPK;dowiedziała się;Baranów;
687;PRZESTEPSTWO;UOKiK;ostrzeżenie przed wekslami Yanok;wydał;Kraków;
688;POLITYKA;;kongres Polska Wielki Projekt;rozpocznie się;Warszawa;piątek
689;BIZNES;;negocjacje o wolnym handlu;rozpoczęły;USA/Wielka Brytania;
690;BIZNES;PAIH;chińscy inwestorzy;zdobyli pozycję lidera;Polska;wtorek
691;BIZNES;przedsiębiorcy;wyższe składki ZUS;zapłacą;Polska;2016 rok
692;BIZNES;piłkarz;restaurację;planuje postawić;Giżycko;
693;BIZNES;;opłaty za video;rosną;świat;za pięć lat
694;BIZNES;;ceny ropy;spadają;świat;
695;POLITYKA;niemieccy politycy;budowa portu w Świnoujściu;wyrażają sprzeciw;Świnoujście;
696;BIZNES;Castorone;układanie Baltic Pipe;rozpoczął;Morze Bałtyckie;
697;BIZNES;;polski drób;trafi;Chiny;
698;BIZNES;Mateusz Morawiecki;europejski poziom życia;powiedział;Polska;
699;BIZNES;ARiMR;Interwencje w sektorze pszczelarskim;będzie realizować;Polska;przyszły rok
700;BIZNES;mieszkańcy Zimbabwe;gotówka;nie będą musieli chodzić;Zimbabwe;
701;BIZNES;Mateusz Morawiecki;wsparcie gospodarki;napisał;Polska;noc z soboty na niedzielę
702;BIZNES;PKP Intercity;sprzedaż biletów;wstrzymały;Polska;po 18 kwietnia i 1 maja
703;BIZNES;polska gospodarka;odporność na pandemię;wykazały się;Polska;
704;BIZNES;Polski Instytut Ekonomiczny;produkcja energii z węgla;wskazał wzrost;Polska;2021 r.
705;POLITYKA;Rosja;przesył gazu;przerwała;Polska;
706;BIZNES;Mateusz Morawiecki;produkcja samochodów Opla;poinformował;Polska;
707;BIZNES;Piotr Bartkiewicz (Pekao);stopy procentowe;nie podwyższy;Polska;wtorek
708;BIZNES;S&P Global Ratings;prognozę wzrostu PKB;podwyższyła;Polska;2019 r.
709;BIZNES;Daniel Obajtek;produkcja płynu do dezynfekcji;oświadczył;Polska;
710;BIZNES;branża hotelowa;zamknięcie hoteli;mówi o końcu;Polska;
711;BIZNES;PwC i UBS;liczba miliarderów;wynika z raportu;świat;
712;BIZNES;pełnomocnik rządu;Centralny Port Komunikacyjny;mówił;Polska;
713;BIZNES;Marek Zagórski;dowód z warstwą elektroniczną;powiedział o wydawaniu;Polska;marzec 2019
714;BIZNES;Puls Biznesu;inwestycje w hotele;wskazuje;Polska;ubiegły rok
715;BIZNES;;recesja;sugerują uniknięcie;Wielka Brytania;ten rok
716;BIZNES;Sąd Okręgowy w Szczecinie;pozew akcjonariuszy;oddalił;Szczecin;piątek
717;BIZNES;niemiecka gospodarka;rozkręcanie się;rozkręca się;Niemcy;
718;BRAK_ZDARZENIA;;zmiany w zarządach;nie wykluczam;;
719;BIZNES;GUS;stopa bezrobocia;podał;Polska;lipiec 2021 r.
720;BIZNES;PAŻP;strefy opłat terminalowych;chce utrzymać;Polska;
721;BIZNES;;ceny i inflacja;wzrost;;
722;POLITYKA;Andrzej Duda;projekt ustawy o restrukturyzacji;skieruje;Polska;
723;BRAK_ZDARZENIA;Kondrat i Lewandowski;twarze do reklam;wyceniane;;
724;POLITYKA;rosyjskie ministerstwo;aktywa Renault;stały się własnością państwa;Rosja;
725;BIZNES;;transport drogą wodną;pierwszy taki;;
726;POLITYKA;Portugalia;dostawy gazu;negocjuje;Polska/Niemcy;piątek
727;BIZNES;supermarket;warzywa i owoce;sprzedaje;Bruksela;
728;POLITYKA;politycy opozycji;CPK;uderzają;Polska;
729;POLITYKA;Martin Puta;decyzję ws. Turowa;odwołali się;Czechy/Polska;
730;PRZESTEPSTWO;hiszpańska prokuratura;Shakirę;oskarżyła;Hiszpania;
731;BIZNES;Marian Banaś;lukę w VAT;powiedział;Polska;wtorek
732;BIZNES;użytkownik Twittera;wzrost PKB;zwrócił uwagę;Polska;
733;PRZESTEPSTWO;;ruble;wyparowują;Rosja;co roku
734;BIZNES;;pociąg IC Rejewski;wyruszył;Bydgoszcz-Warszawa;niedziela
735;BIZNES;PGNiG;gaz ziemny;dostarczyło;Mołdawia;wtorek
736;BIZNES;Maskpol (PGZ);148 tys. mundurów;dostarczy;Polska;wtorek
737;BRAK_ZDARZENIA;poszkodowany;odszkodowanie;należy się;;
738;BRAK_ZDARZENIA;;normy emisji;;;
739;BIZNES;;obraz Modiglianiego;sprzedany;Nowy Jork;
740;BIZNES;GUS;produkcja przemysłowa;spadła;Polska;październik
741;BIZNES;Sąd UE;wniosek Polski i PGNiG;oddalił;UE;piątek
742;POLITYKA;;podwójne standardy produktów;zostanie uwzględniona;UE;kwiecień
743;POLITYKA;rząd Niemiec;Huawei;skłania się ku dopuszczeniu;Niemcy;
744;BRAK_ZDARZENIA;złoty;sytuacja;wygląda;rynek międzynarodowy;
745;BIZNES;Mateusz Morawiecki;elektromobilność;podkreśla;Polska;
746;BIZNES;Komisja Europejska;plan działań gospodarczych;przyjęła;UE;
747;POLITYKA;Jerzy Kwieciński;fundusze emerytalne;oddajemy;Polska;
748;POLITYKA;Sebastian Kurz;Nord Stream 2;wspiera;Austria;
749;BIZNES;Ireneusz Zyska;liczba prosumentów;oznajmił;Polska;
750;PRZESTEPSTWO (zatrzymać);;umowy z dziewięcioma stacjami;rozwiązujemy;Polska;
751;BIZNES;Agencja Nieruchomości Rolnych;konkurs na prezesa;ogłosiła;Janów Podlaski;
752;POLITYKA;Piotr Müller;transport do Rosji;powiedział;UE;sobota
753;BIZNES;PGNiG;rozbudowy kopalni Lubiatów;wybrało wykonawców;Polska;
754;BIZNES;;wideo w internecie;wzrośnie sprzedaż;Polska;do 2021 r.
755;BIZNES;Rafał Milczarski;wynik finansowy LOT;poinformował;Polska;2019 r.
756;POLITYKA;Marlena Maląg;304 projekty dla seniorów;poinformowała;Polska;
757;BIZNES;GetBack;portfele wierzytelności;nabywała;Polska;
758;BIZNES;Ministerstwo Rozwoju;inflacja;prognozuje;Polska;wrzesień
759;POLITYKA;Die Weltwoche;dostawy gazu;pisze;Polska;
760;BIZNES;Agencja Fitch;rating Polski;potwierdziła;Polska;piątek
761;POLITYKA;Piotr Müller;system rozliczania umów zleceń;powiedział;Polska;
762;BIZNES;węgierskie Ministerstwo Rolnictwa;import wina;powiedzieli;Węgry/Polska;
763;POLITYKA;grecki parlament;kolejne reformy;zaakceptował;Grecja;niedziela wieczorem
764;BIZNES;;pasażerowie kolei;trudne dni;Niemcy;
765;BRAK_ZDARZENIA;;nadzór nad ochroną konsumenta;nie jest wystarczający;;
766;BRAK_ZDARZENIA;;afera spalinowa;zatacza kręgi;;
767;BIZNES;urzędnicy ZUS;nowe uprawnienia;chcą zdobyć;Polska;
768;BIZNES;analitycy PKO BP i Pekao;złoty;ocenili stabilizację;Polska;
769;BIZNES;wojewoda podlaski;rekompensaty;wypłacił;Podlasie;
770;BIZNES;przedsiębiorcy;wsparcie z ZUS;będą mogli wnioskować;Polska;od 15 października
771;BIZNES;Sunday Times;fabrykę JLR;donosi o planach;Polska/Europa Wschodnia;
772;BIZNES;Krajowy Rejestr Długów;dane;alarmujące;Polska;
773;BIZNES;Tesla;kilkudziesięciu pracowników;zwolnił;USA;czwartek
774;BIZNES;minister infrastruktury;poparcie IATA dla CPK;powiedział;Polska;sobota
775;PRZESTEPSTWO;Litwin;sto milionów dolarów;miał wyłudzić;USA;
776;BIZNES;Międzynarodowy Fundusz Walutowy;wzrost gospodarczy;pochwalił;Polska;
777;BIZNES;Tadeusz Kościński;wartość handlu internetowego;uważa;Polska;ubiegły rok
778;POLITYKA;Komisja Europejska;sankcje;zaproponowała obejście;UE/Rosja;
779;BIZNES;Handelsblatt;import z Polski;pisze;Niemcy;pierwszy kwartał
780;BIZNES;inwestor;Suntago Wodny Świat;poinformował o budowie;Mszczonów;
781;POLITYKA;rząd;uprawy tytoniu;chce nadzorować;Polska;
782;BIZNES;Włodzimierz Kocon (BGK);mieszkania dla najuboższych;poinformował;Polska;
783;BIZNES;Walmart;karabiny;wycofa;USA;
784;BIZNES;właściciel WFM;informacje o zwolnieniach;określił nieprawdziwymi;Polska;
785;POLITYKA;władze Chin;program subwencjonowania lotów;ogłosiły;Chiny;
786;BIZNES;Andrzej Duda;sztuczna inteligencja;tematami spotkania;USA (Kalisfornia);poniedziałek
787;POLITYKA;stacja TVN;przedłużenie koncesji;zwróciła się;Polska;
788;BIZNES;Wizz Air;bezpłatny bagaż;poinformował;świat;od 1 listopada
789;BIZNES;Bank Światowy;tempo wzrostu gospodarki;wynika z raportu;Polska;2019 r.
790;BIZNES;;załadunek zboża;będzie możliwy;;
791;PRZESTEPSTWO;prezes UOKiK;influencerów;ukarania;Polska;
792;BRAK_ZDARZENIA;;wirusy;nie przepuszcza;;
793;BIZNES;Trybunał Arbitrażowy;przesłanka kontraktowa;orzekł;Szwecja/Polska;sobota
794;BRAK_ZDARZENIA;automatyczny kasjer;pieniądze;wypłaci;;
795;BIZNES;Tadeusz Kościński;termin zapłaty zaliczek;zdecydował o przedłużeniu;Polska;
796;BIZNES;Wizz Air;pięć nowych tras;uruchomi;Polska;czerwiec
797;BIZNES;KNF;ustawę frankową;stwierdziła zagrożenie;;
798;BIZNES;Gertruda Uścińska (ZUS);świadczenia postojowe;przeleje;Polska;środa
799;BIZNES;;Forum Ekonomiczne;będzie odbywać się;Karpacz;najbliższe sześć lat
800;BIZNES;Olga Semeniuk;branżę gastronomiczną;planujemy uruchomić;Polska;
801;BIZNES;money.pl;wakacje kredytowe;ustalił nieoficjalnie;Polska;
802;BIZNES;Piotr Naimski;projekt;będzie dopięty;Polska;do czerwca
803;BIZNES;;seria gier Wiedźmin;stanowi 4 proc. eksportu;USA/Polska;
804;BRAK_ZDARZENIA;;dowody zakupów;będzie można rejestrować;;
805;BIZNES;premier Ukrainy;zaciągnięte kredyty;deklaruje spłatę;Ukraina;
806;BRAK_ZDARZENIA;;wzrost;;;;
807;POLITYKA;Krzysztof Tchórzewski;neutralność klimatyczna;powiedział o koszcie;Polska;
808;BIZNES;UKE;rynek usług pocztowych;wynika z raportu;Polska;2021 r.
809;BIZNES;Puls Biznesu;zwolnienia grupowe w Tesco;pisze;Polska;
810;BRAK_ZDARZENIA;;;;;;
811;POLITYKA;Washington Post;przejęcie Twittera;podał o przeglądzie;USA;środa
812;BRAK_ZDARZENIA;;podwykonawcami dla stoczni;byliśmy;;
813;BIZNES;PKP PLK;dostęp kolejowy do portów;ogłosiły przetargi;Gdańsk/Gdynia;
814;BIZNES;eksperci NBP;inflacja i PKB;spodziewają się;Polska;ten rok
815;BIZNES;chińskie władze;import polskiego drobiu;zniosły zakaz;Chiny;wtorek
816;POLITYKA;Economist;gospodarkę kraju;pisze o liberalizacji;Francja;
817;BIZNES;Portugalia;czterodniowy tydzień pracy;wypróbuje;Portugalia;
818;BIZNES;;statki przed portami;czeka;Niemcy/Holandia/Belgia;
819;BIZNES;GUS;przeładunki w portach;poinformował;Polska;październik
820;POLITYKA;Wysokienapiecie.pl;likwidacje kopalń;zauważa;Polska;
821;BIZNES;Daniel Obajtek;ropa spoza Rosji;poinformował;Polska;środa
822;BIZNES;Ministerstwo Finansów;nadwyżka w budżecie;podało;Polska;po październiku
823;BIZNES;;Toyota Central Europe;przeniesiona;Warszawa;
824;BIZNES;Bank Światowy;prognozę wzrostu;podniósł;Polska;
825;POLITYKA;członkowie UE;współpracy z Chinami;widzą szansę;UE/Chiny;
826;BIZNES;bank centralny (BCRA);wzrost cen;prognoza;Argentyna;ten rok
827;PROTEST;frankowicze;projekt PO;ostro krytykują;Polska;
828;BIZNES;Rzeczpospolita;import gazu;informuje;Polska;do 2022 roku
829;BIZNES;Donald Trump;podatku;zapłacił;USA;2005 r.
830;BIZNES;Elon Musk;najbogatszym człowiekiem;nie jest już;świat;
831;BIZNES;PGNiG;odpady komunalne;prowadzi badania;Polska;
832;BRAK_ZDARZENIA;;;;;
833;BIZNES;koronawirus;włoską gospodarkę;negatywnie wpływa;Włochy;
834;PROTEST;Dmytro Kułeba;bojkotowania Renault;wezwał;Ukraina;
835;BIZNES;Nasz Dziennik;inwestycje geotermalne;ocenia;Polska;
836;BIZNES;Marek Dietl;GPW;chce;Polska;
837;BIZNES;Rzeczpospolita;portal skarbówki;informuje;Polska;
838;POLITYKA;Fumio Kishida;rezerw ropy;ogłosił uwolnienie;Japonia;
839;BIZNES;;latające taksówki;będą przewoziły pasażerów;Włochy;2026 rok
840;BRAK_ZDARZENIA;;rynek pracy;dobre wieści;Polska;
841;BIZNES;Ministerstwo Klimatu;17 kg bursztynu;poinformowało o wydobyciu;Mierzeja Wiślana;
842;POLITYKA;władze Kalifornii;opodatkowania SMS-ów;zrezygnowały;Kalifornia;
843;BRAK_ZDARZENIA;;umowy;negocjowane w sposób tajny;;
844;BIZNES;;element zabezpieczenia przed powodzią;staną się;Żuławy;
845;BIZNES;tvp.info;subskrybentów na YouTube;zyskał;Polska;miniony rok
846;POLITYKA;Polskie Radio;Warszawa członkiem ABII;informuje;Polska/Chiny;
847;BIZNES;;kontrakty na gaz TTF;wzrosły;Holandia;wtorek
848;BIZNES;złoty;wartość;traci;Polska;poniedziałek rano
849;BIZNES;PLL LOT;Boeing 787-8 Dreamliner;odebrały;USA/Polska;piątek
850;BIZNES;Związek Banków Polskich;zaufanie do banków;wynika z badania;Polska;
851;BIZNES;AMIC Energy Management;230 stacji Łukoil;sprzedanych;Polska/Litwa/Łotwa;
852;BIZNES;minister infrastruktury;Centralny Port Komunikacyjny;przekonuje;Polska;
853;PROTEST;sfera budżetowa;24-godzinny strajk;rozpoczął się;Grecja;
854;BIZNES;;składki zdrowotne;mamy świadomość;;
855;BIZNES;;wydatki na czynsz i media;może rozliczyć;Polska;
856;BRAK_ZDARZENIA;;Polskę młodą;;Polska;
857;BIZNES;dziennik Trouw;liczba pracowników;zmniejsza się;Holandia;czwartek
858;BIZNES;;średnia cena nowego auta;wyniosła;Polska;sierpień
859;BIZNES;Rzeczpospolita;konkurencja o pracowników;podkreśla;Ukraina;poniedziałek
860;BIZNES;;pracowników z Azji;przyjechało;Polska;styczeń-czerwiec
861;BIZNES;Bouchra Jarrar;dyrektorem kreatywnym;została;Francja;
862;BRAK_ZDARZENIA;złoty;wartość;zyskuje;Polska;kolejny dzień
863;BIZNES;kierowcy;odprawy;czekało;Zosin;piątek
864;BIZNES;PKP Intercity;pasażerów;mamy przyrost;Polska;
865;BIZNES;resort finansów;obligacji;przekonuje do kupowania;świat;
866;BIZNES;Eurostat;sprzedaż detaliczna;podał;Polska;lipiec
867;BIZNES;UKNF;ustawy o kredycie hipotecznym;cel nowej;Polska;sobota
868;BIZNES;audytorska EY;kierunków inwestycyjnych;podała;Europa/Polska;2016 rok
869;BIZNES;MRPiPS;badanie wstępne;wskazuje;Polska;
870;BIZNES;Agencja Fitch;rating PKN Orlen;podwyższyła;Polska;
871;BIZNES;władze regionów;odmrażania gospodarki;chcą;Włochy;4 maja
872;POLITYKA;szef Newsweeka;Marcin Przydacz;zaatakował;Polska;
873;BIZNES;agencja Reutera;grecka giełda;poinformowała;Grecja;niedziela wieczorem
874;BIZNES;Rada Polityki Pieniężnej;decyzje Rady;stwierdzono w komunikacie;Polska;czwartek
875;BIZNES;;Boże Narodzenie;wydajemy coraz więcej;Polska;co roku
876;BIZNES;Puls Biznesu;akcji banków;pozbywają się;Polska;
877;POLITYKA;Mateusz Morawiecki;propozycji unijnego budżetu;nie akceptujemy;Bruksela;czwartek
878;BIZNES;Małgorzata Sadurska (PZU);polisy ubezpieczeniowe;oświadczyła;Polska;
879;POLITYKA;uczestnicy Energy Summit;wspólne stanowisko;okazję wypracować;UE;
880;BIZNES;;projekt strategii rozwoju;zostanie opublikowany;Polska;czwartek
881;BIZNES;Moody’s;spłatą obligacji;uznała zaleganie;Białoruś;
882;POLITYKA;Bułgarzy;myśliwce MiG-29;chcą remontować;Polska;
883;BIZNES;stołeczny ratusz;nabór wniosków o dofinansowanie;przypomniał;Warszawa;środa
884;BRAK_ZDARZENIA;złoty;sytuacja;wygląda;rynek międzynarodowy;
885;BIZNES;;popyt na kredyty mieszkaniowe;wzrósł;Polska;pierwsze półrocze
886;BIZNES;operatorzy gazu;umowę z unijną Agencją;podpisali;Kopenhaga;
887;BIZNES;;rosyjskiego rynku;zapowiedzi opuszczenia;Rosja;
888;BIZNES;kierowcy;drogi ekspresowej S19;mogą korzystać;Podkarpacie;
889;BIZNES;;trufli;jest więcej;Włochy;styczeń
890;BIZNES;;trasy kolejowej do Karpacza;budowa;Dolny Śląsk;
891;BIZNES;portal Meduza;liczbę rejsów;ograniczają;Rosja;
892;BIZNES;Ryanair;sześć lotów z Polski;odwołał;Polska;10 sierpnia
893;BIZNES;Mikołaj Wild;doradcy strategicznego;szuka;Polska/Singapur;
894;BIZNES;;produkty prozdrowotne;znakując;Polska;
895;BRAK_ZDARZENIA;Zbigniew Jagiełło;przekonanie;stwierdził;Polska;
896;POLITYKA;Parlament Europejski;trasę Via Carpatia;poparł nowelizację;UE;
897;BIZNES;;pociąg z Chin;dotarł;Sławków;
898;BIZNES;Eurostat;inflacja w strefie euro;poinformował;UE;
899;BIZNES;Elon Musk;Manchester United;kupuje;Anglia;
900;BIZNES;Gaz-System;raporty o oddziaływaniu;złożyła;Polska;
901;BIZNES;PGNiG (Orlen);gazowców;poinformowało o wyruszeniu;USA-Polska;
902;BIZNES;NBP;oficjalne aktywa rezerwowe;poinformował;Polska;koniec października 2022
903;BIZNES;Reuters;zerowej emisji netto;informuje;świat;poniedziałek
904;POLITYKA;Komisja Europejska;przepisy;zaproponowała;UE;
905;BRAK_ZDARZENIA;;plan szczegółowy;prezentowany;;
906;BIZNES;Rzeczpospolita;branża zielarska;wskazuje;UE;
907;BIZNES;inwestorzy zagraniczni;spółki;zakładają;Polska;
908;PRZESTEPSTWO;prokuratorzy;pozwy przeciw Google;wnieśli;USA;
909;KATASTROFA;pandemia;ludzi (ubóstwo);może popaść;świat;
910;POLITYKA;Komisja Europejska;wkłady aromatyzowane;chce zakazać;UE;
911;BIZNES;Grecja;pieniędzy;brakuje;Grecja;
912;BIZNES;Komisja Europejska;energia nuklearna i gaz;zaproponowała zaklasyfikowanie;UE;
913;POLITYKA;Mateusz Szczurek;kwota wolna od podatku;powiedział;Polska;
914;POLITYKA;Aleksandr Nowak;kontrakt na tranzyt;poinformował o braku planów;Ukraina;2019 rok
915;BIZNES;;sklepy;będą zamknięte;Polska;niedziela 9 czerwca
916;BIZNES;Ministerstwo Finansów;elektroniczne PIT-y;zanotowało;Polska;
917;BRAK_ZDARZENIA;;szara strefa;wytworzyła;Ukraina;
918;BIZNES;instytucje finansowe;klientów;odkryły;Polska;
919;POLITYKA;Departament Handlu;ograniczenia na eksport;ogłosił;USA/Chiny;środa
920;POLITYKA;Kosma Złotowski;interpelację;złożył;UE;
921;BIZNES;Agencja Nieruchomości Rolnych;akcje KSC;kupiła;Polska;
922;PRZESTEPSTWO;policja;śmierć analityka;wyjaśnić;San Francisco;
923;BIZNES;;dziura w kasie;coraz mniejsza;Polska;
924;POLITYKA;Marta Wcisło i Piotr Wawrzyk;blokadę tirów;powiedzieli/zdementowali;Polska;
925;BIZNES;;ukaranie właściciela Biedronki;kluczowa decyzja;Polska;
926;BIZNES;Stuart Gulliver (HSBC);zmianę banku;powiedział;świat;
927;BIZNES;Volkswagen;decyzję o budowie fabryki;odłożył;Turcja;
928;POLITYKA;władze Balearów;prawo użytkowania lokali;zamierzają odebrać;Hiszpania;
929;BIZNES;DIHK;problemy finansowe;poinformował;Niemcy;najbliższe miesiące
930;BIZNES;Twitter;awarii;uległ;świat;
931;BIZNES;Daniel Obajtek;warunki zaradcze;poinformował;UE/Polska;wtorek
932;BRAK_ZDARZENIA;;kłopoty Volkswagena;ciąg dalszy;;
933;BIZNES;;ryczałt od dochodów;będzie mogła wybrać;Polska;od 2022 r.
934;BIZNES;PKN Orlen;patronatem obchody PKOl;obejmie;Polska;ten rok
935;BIZNES;Polacy;pieniądze w galeriach;wydali;Polska;pierwszy tydzień otwarcia
936;BIZNES;;drugi bank w Polsce;może zmienić właściciela;Polska;
937;BIZNES;Daniel Obajtek;umowy ze stacją;zapowiedział rozwiązanie;Polska;
938;PRZESTEPSTWO;firmy;wycofuje się z rynku;wycofuje;Rosja;
939;BIZNES;rząd;pakiet finansowy;przygotował;Polska;
940;POLITYKA;rząd;projekt ustawy;przygotowuje;Polska;
941;BIZNES;;dotacja dla ZUS;będzie mniejsza;Polska;
942;BIZNES;Agencja Fitch;rating Grecji;obniżyła;Grecja;wtorek
943;BIZNES;OPEC;limit wydobycia;zgodziła się;świat;
944;BIZNES;;leki i suplementy;znikają;Polska;
945;POLITYKA;TSUE;dyrektywę o VAT;orzekł o naruszeniu;Polska/UE;czwartek
946;BIZNES;Daniel Obajtek;reaktory jądrowe SMR;przekazał o inwestycji;Polska;
947;POLITYKA;Węgierski Bank Narodowy;informacje;może utajnić;Węgry;
948;POLITYKA;Donald Tusk;propozycje ws. inflacji;przedstawił;Polska;środa
949;BIZNES;Rzeczpospolita;wzrost obciążeń podatkowych;informuje;Polska;
950;POLITYKA;Platforma Obywatelska;Krajowy Plan Odbudowy;odrzuca;Polska/UE;
951;BIZNES;ceny ropy;ceny;spadły;;wtorek
952;BIZNES;;płeć przy rekrutacji;badanie pokazało;Szwecja/USA;
953;BIZNES;Ministerstwo Infrastruktury;połączenie dróg;poinformowało o otwarciu;Warszawa;noc z czwartku na piątek
954;BIZNES;TeleCinco;oferty pracy czasowej;podała o zmianach;Hiszpania;lato
955;BIZNES;Rzeczpospolita;KNF (Michał Krupiński);informuje o stanowisku;Polska;
956;WYPADEK;strażacy;pożar magazynu;walczyli;Francja (Bordeaux);środa
957;POLITYKA;Ministerstwo Edukacji;program gier wideo;planuje start;Polska;wrzesień
958;BIZNES;NCBiR;ofertę Ursusa;wybrało;Polska;
959;POLITYKA;Ministerstwo Finansów;zmian w VAT;planuje;Polska;
960;POLITYKA;Mike Pompeo;klauzulę Nord Stream 2;zniesie;USA;
961;BIZNES;Panasonic;współpracę;postanowił zerwać;Rosja;
962;POLITYKA;Frankfurter Rundschau;sukces na szczycie RE;osiągnęła;Polska;
963;BIZNES;GUS;średnia płaca;podał;Polska;kwiecień
964;KATASTROFA;hodowcy NPA;zwierzęta (świnie);zostały zabite;Wielka Brytania;
965;BIZNES;;stacja Włoszczowa Północ;zostanie rozbudowana;Włoszczowa;
966;BIZNES;Polskie Koleje Linowe;400 mln zł;zainwestują;Polska;do 2025 r.
967;BIZNES;Usain Bolt;wypożyczalnię hulajnóg;otworzył;Paryż;
968;BIZNES;;kolejki na granicy;biurokracja wydłuża;świat;
969;BIZNES;;7 mld zł na górnictwo;ma zabezpieczyć;Polska;do końca 2022 r.
970;BIZNES;złoty;wartość;osłabiał się/umacniał;Polska;środa rano
971;BIZNES;Sąd Miejski;upadłość Ceske Aerolinie;ogłosił;Praga;
972;POLITYKA;rząd PiS;podatki;obniżył;Polska;
973;POLITYKA;Rishi Sunak;wydatki na infrastrukturę;zapowie;Wielka Brytania;
974;BIZNES;Gazeta Wyborcza;dolar;goni euro;;
975;BRAK_ZDARZENIA;;niemieckiej polityce energetycznej;przewrót;Niemcy;
976;BIZNES;PGNiG Obrót Detaliczny;opłaty za gaz;zapłacą więcej;Polska;od 1 października
977;BRAK_ZDARZENIA;;;;;
978;BIZNES;premier Rumunii;nadwyżkę podatkową;zapowiedział;Rumunia;pierwszy kwartał
979;POLITYKA;senacka komisja;estoński CIT;poparła;Polska;wtorek
980;BIZNES;;kruszec (złoto);cena;Polska;
981;BIZNES;PGNiG;skroplonego gazu LNG;kupi więcej;USA;
982;BIZNES;BIG InfoMonitor i BIK;zaległości Polaków;informują;Polska;
983;POLITYKA;USA;cła na wino i sery;nałożyły;USA/UE;
984;BIZNES;Opel;produkcję silników;rozpoczęła;Tychy;czwartek
985;BRAK_ZDARZENIA;;;;;2018 r.
986;BIZNES;Rzeczpospolita;nowych połączeń lotniczych;pisze;Polska;lato
987;BIZNES;Bank Światowy;wzrost PKB;przewiduje;Polska;2019 r.
988;BIZNES;pracodawcy;aneksy do umów;przedstawiają;Polska;
989;POLITYKA;Grzegorz Puda;kierunek KE;powiedział;Polska/UE;
990;BIZNES;Gaz-System;zainteresowanie Baltic Pipe;poinformował;Polska;
991;BIZNES;Biuro Polskie w Tajpej;partia jabłek;trafiła;Tajwan;czwartek
992;BIZNES;Muhammad ibn Salman;ceny ropy;ostrzegł;świat;
993;BIZNES;;impulsowe zakupy;rekordy;;
994;BIZNES;Dariusz Naworski;loty krajowe;podał o wznowieniu;Olsztyn-Mazury;15 czerwca
995;BIZNES;;pamiątkowy banknot 0 euro;będzie można zdobyć;Warszawa;koniec listopada
996;BIZNES;;boczek i żeberka;eksportowym hitem;USA/Polska;
997;POLITYKA;Jim Risch;sankcje Nord Stream 2;przekazał o wpisaniu;USA;rok finansowy 2020
998;BIZNES;władze ligawy NBA;straty;obawiają się;USA;
999;BRAK_ZDARZENIA;;;;Niemcy;
1000;BIZNES;BIG InfoMonitor;wydatki na sylwestra;wynika z badania;Polska;
1001;POLITYKA;Pierre Moscovici;wyjście Grecji z euro;zapewnił o braku przygotowań;Grecja/UE;
1002;BIZNES;przedstawiciel PIM;produkty mleczarskie;ocenił;Chiny;czwartek
1003;BIZNES;;PKB;wyniósł;Polska/UE;II kwartał 2019
1004;KATASTROFA;brytyjski dziennik;stężenie substancji (smog);donosi;Polska;grudzień
1005;BIZNES;eksperci;system bankowy;obawiali się;Ukraina;
1006;BRAK_ZDARZENIA;;;;;
1007;PRZESTEPSTWO;sąd;Wiaczesław Platon;skazany;Kiszyniów;
1008;BIZNES;Gazeta Polska Codziennie;spadku cen na stacjach;informuje;Polska;
1009;BIZNES;Marek Gróbarczyk;kanał przez Mierzęję;zapewnił;Polska;
1010;BIZNES;Małgorzata Jarosińska-Jedynak;60 mld zł;powiedziała;Polska;po 2021 r.
1011;BIZNES;dw.com;ranking atrakcyjności inwestycyjnej;informuje;Europa Środkowa;
1012;BIZNES;Zarząd MPK i Solaris;zakup 37 autobusów;podpisali umowę;Poznań;
1013;POLITYKA;Rosyjska Agencja Nadzoru;sankcje;wprowadziła;Rosja;
1014;BRAK_ZDARZENIA;;;;;
1015;BIZNES;Deloitte;wydatki na Boże Narodzenie;wynika z badania;Polska;ten rok
1016;POLITYKA;Ministerstwo Rozwoju;modyfikacje w obniżce składek;zapowiada;Polska;
1017;BIZNES;przedsiębiorcy;składki ZUS;płacili;Polska;marzec-maj
1018;BIZNES;;mosty na Mierzei;mają zakończyć się prace;Nowy Świat;do 2022 r.
1019;POLITYKA;;słodycze i napoje;nie można sprzedawać;Polska;od 1 września
1020;BRAK_ZDARZENIA;GUS;obywatele RP;podał dane;Polska;2021 r.
1021;BIZNES;;inwestycja;kosztowała 16 mln zł;Polska;
1022;BIZNES;Czesi;zakupy;przyjeżdżają;Polska;
1023;BRAK_ZDARZENIA;;milionerzy;;;
1024;BIZNES;GUS;wzrost gospodarczy;podał szacunek;Polska;
